route_id,agency_id,route_short_name,route_name,route_desc,route_type,route_url,route_color,route_text_color,dummy,Frequency/Timings source,Frequency timings destination,Comments,route_long_name
154,BMTCB,,Shivajinagar -Vinayakanagar (Guddadahalli) ,,3,,F53333,FFFFFF,1,,,,154:Shivajinagar -Vinayakanagar (Guddadahalli) 
155,BMTCB,,Shivajinagar -Jagajeevanramnagar ,,3,,F53333,FFFFFF,1,,,,155:Shivajinagar -Jagajeevanramnagar 
159,BMTCB,,Shivajinagar -Shivajinagar ,,3,,F53333,FFFFFF,1,,,,159:Shivajinagar -Shivajinagar 
161B ,BMTCB,,Shivajinagar -Jaibheemanagar ,,3,,F53333,FFFFFF,1,,,,161B :Shivajinagar -Jaibheemanagar 
161C ,BMTCB,,Shivajinagar -Old Gurappanapalya ,,3,,F53333,FFFFFF,1,,,,161C :Shivajinagar -Old Gurappanapalya 
161D ,BMTCB,,Shivajinagar -Kuvempunagar (BTM Layout) ,,3,,F53333,FFFFFF,1,,,,161D :Shivajinagar -Kuvempunagar (BTM Layout) 
161F ,BMTCB,,Shivajinagar -Balajinagar ,,3,,F53333,FFFFFF,1,,,,161F :Shivajinagar -Balajinagar 
162,BMTCB,,Kempegowda Bus Station -Kempegowda Bus Station ,,3,,F53333,FFFFFF,1,,,,162:Kempegowda Bus Station -Kempegowda Bus Station 
162A ,BMTCB,,Kempegowda Bus Station -Kempegowda Bus Station ,,3,,F53333,FFFFFF,1,,,,162A :Kempegowda Bus Station -Kempegowda Bus Station 
162B ,BMTCB,,Kempegowda Bus Station -Kempegowda Bus Station ,,3,,F53333,FFFFFF,1,,,,162B :Kempegowda Bus Station -Kempegowda Bus Station 
162C ,BMTCB,,Kempegowda Bus Station -Kempegowda Bus Station ,,3,,F53333,FFFFFF,1,,,,162C :Kempegowda Bus Station -Kempegowda Bus Station 
162D ,BMTCB,,Mahalakshmi Layout -Kuvempunagar (BTM Layout) ,,3,,F53333,FFFFFF,1,,,,162D :Mahalakshmi Layout -Kuvempunagar (BTM Layout) 
162E ,BMTCB,,Rajajinagar 1st Block -Kuvempunagar (BTM Layout) ,,3,,F53333,FFFFFF,1,,,,162E :Rajajinagar 1st Block -Kuvempunagar (BTM Layout) 
